Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2014-08-11,18.0,24.2,20.1,95.0,10.4,3.0,2.0,170.0,0.0,N 
2014-08-12,17.0,24.8,19.9,89.0,24.2,2.3,3.0,340.0,1.0,N 
2014-08-13,17.0,26.0,20.6,89.0,35.3,4.2,2.0,330.0,0.0,N 
2014-08-14,16.0,25.2,20.6,85.0,0.3,5.7,2.0,280.0,0.0,N 
2014-08-15,17.0,25.6,20.7,89.0,9.0,5.4,2.0,330.0,0.0,N 
2014-08-16,17.0,25.4,20.8,83.0,0.2,4.8,3.0,320.0,0.0,N 
2014-08-17,17.0,26.4,20.7,82.0,0.0,6.2,3.0,320.0,1.0,N 
2014-08-18,17.0,25.0,20.4,83.0,0.0,7.0,3.0,300.0,0.0,N 
2014-08-19,17.0,25.3,20.6,81.0,0.0,4.2,2.0,320.0,1.0,N 
2014-08-20,17.0,26.6,20.2,78.0,0.0,5.2,3.0,320.0,1.0,N 
2014-08-21,16.0,26.2,20.8,84.0,9.8,7.6,2.0,330.0,0.0,N 
2014-08-22,17.0,27.8,21.9,77.0,0.3,6.0,2.0,250.0,0.0,N 
2014-08-23,18.0,27.2,21.9,86.0,0.0,9.1,2.0,320.0,0.0,N 
2014-08-24,18.0,25.4,20.9,90.0,6.0,6.1,2.0,310.0,0.0,N 
2014-08-25,18.0,25.8,21.2,87.0,5.4,3.8,3.0,320.0,0.0,N 
2014-08-26,17.0,26.0,20.5,86.0,23.8,3.9,4.0,330.0,1.0,N 
2014-08-27,16.0,25.8,20.6,85.0,2.2,6.7,2.0,320.0,0.0,N 
2014-08-28,17.0,25.6,19.9,83.0,0.0,5.7,3.0,330.0,1.0,N 
2014-08-29,17.0,24.6,19.9,92.0,26.5,4.4,2.0,280.0,0.0,N 
2014-08-30,17.0,25.2,20.6,84.0,26.9,3.2,3.0,330.0,1.0,N 
2014-08-31,17.0,25.7,20.8,87.0,0.3,4.1,3.0,320.0,0.0,N 
2014-09-01,17.0,25.2,20.7,90.0,0.0,6.1,2.0,300.0,0.0,N 
