Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2014-04-24,23.0,33.2,28.1,78.0,1.5,8.0,2.0,315.0,2.0,NW
2014-04-25,24.0,33.7,27.8,79.0,0.0,8.0,4.0,315.0,2.0,NW
2014-04-26,24.0,32.8,26.8,85.0,1.0,6.2,3.0,315.0,3.0,SW
2014-04-27,23.0,31.5,25.9,88.0,31.7,6.0,6.0,180.0,2.0,S 
2014-04-28,22.0,32.4,26.6,83.0,35.3,7.0,4.0,270.0,2.0,W 
2014-04-29,22.0,33.0,25.9,88.0,7.8,6.4,14.0,180.0,2.0,N 
2014-04-30,22.0,32.5,25.8,87.0,50.4,7.0,6.0,180.0,2.0,NW
2014-05-01,22.0,32.0,25.9,87.0,3.6,5.3,8.0,360.0,3.0,N 
2014-05-02,22.0,32.2,26.4,84.0,3.0,7.4,5.0,360.0,2.0,N 
2014-05-03,24.0,32.0,26.3,86.0,4.2,6.5,4.0,360.0,2.0,N 
2014-05-04,23.0,31.8,26.7,85.0,1.4,5.1,4.0,45.0,3.0,NE
2014-05-05,23.0,33.0,27.1,81.0,0.0,6.8,4.0,360.0,2.0,NE
2014-05-06,23.0,33.1,27.0,82.0,0.0,5.0,4.0,45.0,2.0,NE
2014-05-07,23.0,34.2,26.0,85.0,0.0,6.6,11.0,270.0,3.0,NW
2014-05-08,24.0,32.0,26.7,88.0,42.1,3.0,3.0,360.0,2.0,N 
2014-05-09,23.0,33.0,26.3,86.0,29.0,8.0,5.0,315.0,2.0,NE
2014-05-10,23.0,32.1,26.5,88.0,41.4,2.8,4.0,145.0,2.0,N 
2014-05-11,25.0,31.0,27.1,87.0,2.0,4.5,3.0,315.0,2.0,NW
2014-05-12,23.0,32.4,26.3,86.0,1.6,5.2,4.0,315.0,2.0,S 
2014-05-13,23.0,33.2,26.5,84.0,9.3,7.1,7.0,360.0,2.0,N 
2014-05-14,23.0,32.8,26.5,86.0,15.6,5.8,8.0,360.0,2.0,N 
2014-05-15,23.0,32.1,26.0,85.0,11.0,4.5,6.0,360.0,2.0,N 
2014-05-16,22.0,32.5,25.9,84.0,0.3,6.0,4.0,145.0,2.0,SE
2014-05-17,23.0,31.6,24.8,92.0,28.6,2.6,4.0,315.0,2.0,NW
2014-05-18,22.0,32.1,25.2,87.0,15.8,5.3,6.0,225.0,2.0,E 
2014-05-19,22.0,32.0,25.9,86.0,9.6,5.6,4.0,315.0,2.0,N 
2014-05-20,23.0,31.6,26.2,85.0,19.5,7.7,3.0,315.0,2.0,NW
2014-05-21,23.0,33.0,26.3,85.0,0.0,7.5,4.0,315.0,2.0,NW
2014-05-22,24.0,32.1,26.3,87.0,8.4,5.9,4.0,315.0,2.0,NW
2014-05-23,22.0,32.2,25.6,84.0,11.7,5.4,2.0,315.0,4.0,NW
2014-05-24,23.0,30.8,26.1,82.0,0.0,3.6,4.0,360.0,0.0,N 
2014-05-25,23.0,32.0,26.6,81.0,0.0,8.0,6.0,45.0,2.0,N 
2014-05-26,24.0,30.6,25.8,89.0,0.3,2.8,3.0,145.0,3.0,SE
2014-05-27,24.0,32.8,26.7,83.0,1.0,6.4,3.0,315.0,2.0,NW
2014-05-28,24.0,31.2,26.6,90.0,29.3,4.6,3.0,360.0,3.0,N 
2014-05-29,24.0,32.2,27.0,81.0,7.5,8.0,5.0,90.0,2.0,E 
2014-05-30,22.0,32.8,25.6,84.0,0.0,6.5,3.0,315.0,3.0,S 
2014-05-31,23.0,32.2,25.8,86.0,0.2,7.0,4.0,45.0,2.0,N 
2014-06-01,23.0,32.6,27.1,76.0,0.0,7.8,4.0,360.0,2.0,N 
2014-06-02,22.0,32.4,26.8,81.0,0.0,8.0,4.0,315.0,2.0,W 
2014-06-03,23.0,32.8,26.9,77.0,0.0,7.9,5.0,45.0,2.0,N 
2014-06-04,23.0,33.0,27.1,79.0,0.0,6.7,4.0,45.0,3.0,NE
2014-06-05,25.0,31.6,25.9,90.0,0.0,1.0,8.0,225.0,2.0,S 
2014-06-06,24.0,31.0,26.9,83.0,6.7,0.7,4.0,360.0,2.0,N 
2014-06-07,23.0,33.0,27.4,79.0,0.0,8.0,5.0,45.0,2.0,NE
2014-06-08,23.0,33.0,27.1,78.0,0.0,8.0,6.0,45.0,2.0,NE
2014-06-09,23.0,32.9,27.1,79.0,0.0,7.7,4.0,45.0,2.0,NE
2014-06-10,24.0,33.2,26.4,86.0,0.0,6.2,3.0,315.0,3.0,NW
2014-06-11,24.0,32.6,27.2,83.0,26.1,7.6,4.0,45.0,2.0,E 
2014-06-12,24.0,33.2,27.3,84.0,0.0,7.5,4.0,315.0,2.0,NE
2014-06-13,24.0,30.8,26.9,87.0,2.8,4.2,2.0,360.0,0.0,N 
2014-06-14,23.0,32.2,26.0,85.0,13.0,5.9,4.0,360.0,3.0,N 
2014-06-15,24.0,33.0,25.3,89.0,2.6,0.8,3.0,315.0,2.0,NW
2014-06-16,23.0,31.8,26.3,83.0,5.1,6.2,5.0,360.0,2.0,N 
2014-06-17,24.0,31.2,27.1,86.0,0.0,3.8,3.0,315.0,2.0,E 
2014-06-18,24.0,31.6,26.5,80.0,0.0,6.6,4.0,90.0,2.0,E 
2014-06-19,23.0,29.8,25.8,86.0,4.1,0.0,4.0,90.0,3.0,E 
2014-06-20,23.0,31.8,26.7,81.0,0.0,7.7,4.0,360.0,2.0,N 
2014-06-21,24.0,33.0,26.5,83.0,0.1,5.3,6.0,360.0,3.0,N 
2014-06-22,23.0,33.4,26.6,81.0,0.0,8.0,4.0,360.0,2.0,N 
2014-06-23,23.0,31.8,25.5,86.0,0.0,4.8,4.0,360.0,2.0,SE
2014-06-24,24.0,31.3,27.0,81.0,0.0,2.2,6.0,45.0,2.0,E 
2014-06-25,24.0,33.2,26.3,85.0,0.0,4.0,4.0,360.0,3.0,N 
2014-06-26,24.0,30.4,25.5,85.0,0.2,0.0,4.0,45.0,2.0,E 
2014-06-27,23.0,31.0,24.9,90.0,0.0,3.7,4.0,315.0,2.0,N 
2014-06-28,22.0,29.6,25.3,88.0,24.0,3.3,4.0,315.0,2.0,NW
2014-06-29,23.0,30.8,26.6,82.0,0.0,6.2,3.0,270.0,2.0,W 
2014-06-30,22.0,33.0,26.3,78.0,0.0,8.0,3.0,360.0,2.0,N 
2014-07-01,22.0,31.8,26.4,71.0,0.2,8.0,4.0,45.0,2.0,NE
2014-07-02,23.0,30.0,25.6,83.0,0.0,1.2,4.0,315.0,3.0,NW
2014-07-03,21.0,31.4,25.4,81.0,0.0,6.1,4.0,360.0,2.0,NE
2014-07-04,22.0,32.8,26.4,81.0,0.0,7.6,3.0,315.0,2.0,NE
2014-07-05,24.0,31.4,26.8,85.0,50.8,3.2,3.0,45.0,2.0,NW
2014-07-06,24.0,30.4,25.8,88.0,24.7,5.4,3.0,315.0,2.0,NW
2014-07-07,22.0,31.4,25.6,84.0,4.0,5.9,4.0,90.0,2.0,E 
2014-07-08,24.0,29.5,25.6,90.0,0.0,2.9,3.0,270.0,2.0,W 
2014-07-09,24.0,32.0,27.2,78.0,6.7,7.0,2.0,360.0,2.0,NW
2014-07-10,23.0,31.2,25.9,86.0,116.7,4.9,4.0,45.0,2.0,NE
2014-07-11,23.0,31.2,26.0,83.0,0.7,5.5,3.0,45.0,2.0,NE
2014-07-12,23.0,31.0,25.9,84.0,0.0,4.7,3.0,360.0,2.0,N 
2014-07-13,22.0,31.7,25.9,95.0,0.0,6.35,3.0,225.0,2.0,SW
2014-07-14,21.0,32.4,25.9,70.0,8.8,8.0,6.0,180.0,3.0,S 
2014-07-15,21.0,32.8,25.9,75.0,0.0,6.4,4.0,315.0,3.0,NW
2014-07-16,22.0,31.8,25.6,84.0,5.6,5.6,4.0,270.0,2.0,W 
2014-07-17,22.0,31.6,25.6,84.0,0.0,5.7,4.0,270.0,2.0,W 
2014-07-18,22.0,31.9,25.8,83.0,1.2,6.4,4.0,360.0,2.0,N 
2014-07-19,22.0,32.4,25.6,80.0,0.5,7.6,3.0,315.0,3.0,NW
2014-07-20,24.0,31.7,26.4,84.0,0.0,6.4,4.0,360.0,2.0,N 
2014-07-21,22.0,31.8,26.2,82.0,23.2,6.5,3.0,360.0,3.0,N 
2014-07-22,24.0,32.4,26.2,84.0,6.0,8.0,3.0,360.0,2.0,N 
2014-07-23,24.0,31.0,25.7,86.0,0.5,3.9,4.0,45.0,2.0,NE
2014-07-24,21.0,31.0,25.0,83.0,0.0,4.9,2.0,90.0,2.0,E 
2014-07-25,23.0,31.0,24.9,86.0,0.0,4.7,4.0,360.0,2.0,N 
2014-07-26,22.0,30.4,25.0,87.0,29.2,4.6,4.0,45.0,2.0,NE
2014-07-27,23.0,30.4,25.0,90.0,4.9,2.9,4.0,135.0,2.0,SE
2014-07-28,22.0,31.4,25.5,84.0,0.0,8.0,6.0,135.0,2.0,SE
2014-07-29,22.0,31.2,25.7,82.0,65.1,7.3,2.0,315.0,2.0,N 
2014-07-30,22.0,32.0,26.2,80.0,0.0,7.9,3.0,315.0,2.0,NW
2014-07-31,22.0,31.4,26.1,80.0,0.2,6.8,4.0,315.0,2.0,NW
2014-08-01,22.0,32.6,26.1,78.0,2.3,6.5,3.0,360.0,2.0,N 
2014-08-02,21.0,32.0,25.4,79.0,0.0,5.8,3.0,180.0,2.0,S 
2014-08-03,23.0,32.0,26.3,82.0,1.5,5.4,6.0,360.0,2.0,N 
2014-08-04,22.0,31.4,25.4,85.0,0.0,4.5,2.0,315.0,3.0,NW
2014-08-05,21.0,31.8,25.8,78.0,35.0,6.5,3.0,360.0,2.0,N 
2014-08-06,23.0,31.8,26.3,76.0,0.0,6.6,6.0,45.0,3.0,NE
2014-08-07,22.0,32.2,26.1,78.0,0.0,6.1,4.0,45.0,3.0,NE
2014-08-08,21.0,32.0,25.1,82.0,0.0,5.5,5.0,360.0,3.0,N 
2014-08-09,22.0,32.2,26.3,78.0,0.0,6.6,4.0,360.0,3.0,N 
2014-08-10,22.0,32.8,25.9,80.0,0.0,4.3,3.0,315.0,3.0,NW
2014-08-11,23.0,30.4,24.7,88.0,0.0,3.6,6.0,225.0,2.0,SW
2014-08-12,22.0,31.2,24.7,86.0,5.2,4.8,3.0,360.0,3.0,SE
2014-08-13,22.0,31.4,25.7,78.0,16.1,7.0,5.0,360.0,2.0,N 
2014-08-14,23.0,32.0,26.1,81.0,0.0,6.1,4.0,45.0,3.0,NE
2014-08-15,22.0,32.0,25.7,82.0,85.8,5.9,4.0,315.0,3.0,NW
2014-08-16,22.0,30.8,25.4,81.0,100.4,5.5,2.0,315.0,2.0,NW
2014-08-17,22.0,31.8,25.7,76.0,0.0,5.9,2.0,315.0,2.0,NW
2014-08-18,21.0,32.0,25.6,74.0,0.0,6.9,4.0,315.0,2.0,NW
2014-08-19,21.0,32.0,25.6,77.0,0.0,6.5,3.0,360.0,2.0,N 
2014-08-20,22.0,32.1,25.9,77.0,0.0,6.5,4.0,315.0,2.0,NW
2014-08-21,22.0,32.2,26.3,80.0,0.0,6.3,4.0,360.0,2.0,N 
2014-08-22,22.0,31.8,26.2,80.0,5.2,6.5,5.0,45.0,2.0,NE
2014-08-23,23.0,33.0,26.7,79.0,0.0,5.2,3.0,45.0,3.0,NE
2014-08-24,23.0,32.8,25.3,84.0,0.0,5.1,8.0,225.0,3.0,SW
2014-08-25,22.0,32.4,26.0,81.0,147.3,5.3,6.0,315.0,3.0,SW
2014-08-26,21.0,31.6,24.9,84.0,38.1,5.4,3.0,315.0,3.0,NW
2014-08-27,21.0,32.4,25.6,78.0,5.1,5.9,3.0,45.0,3.0,NW
2014-08-28,21.0,32.2,26.1,76.0,0.0,6.2,4.0,180.0,3.0,S 
2014-08-29,22.0,31.6,24.4,88.0,62.5,4.7,8.0,315.0,3.0,NE
2014-08-30,21.0,31.2,25.5,82.0,33.9,5.5,4.0,45.0,2.0,NE
2014-08-31,23.0,31.7,25.8,82.0,0.0,4.8,4.0,315.0,2.0,NW
2014-09-01,22.0,32.2,26.4,79.0,1.4,8.0,3.0,45.0,2.0,NE
2014-09-02,23.0,33.6,26.8,81.0,0.0,8.0,3.0,315.0,3.0,NW
2014-09-03,23.0,33.0,27.1,78.0,0.0,8.0,4.0,360.0,2.0,N 
2014-09-04,22.0,32.4,26.5,78.0,0.0,7.8,3.0,360.0,2.0,N 
2014-09-05,21.0,32.0,25.7,77.0,0.0,8.0,3.0,270.0,2.0,N 
2014-09-06,22.0,31.0,25.8,75.0,0.0,7.9,4.0,270.0,3.0,W 
2014-09-07,23.0,31.5,26.3,79.0,5.0,7.1,5.0,45.0,3.0,NE
2014-09-08,22.0,34.8,26.2,78.0,0.0,6.9,4.0,315.0,3.0,NW
2014-09-09,22.0,34.0,26.3,75.0,0.0,7.4,4.0,315.0,2.0,NW
2014-09-10,22.0,32.6,25.9,78.0,0.0,7.6,2.0,315.0,2.0,NW
